web-scraper-order,web-scraper-start-url,autoscout24,autoscout24-href,description_raw,price_raw,mileage_raw,fuel_type_raw,location_raw
"1733470796-1","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=79","","https://www.autoscout24.ch/de/d/mercedes-benz-camper-11705628","MERCEDES-BENZ Camper","CHF 15'900.–","265'000 km","Diesel","Mittelstrasse 38, 3613 Steffisburg"
"1733470799-2","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=79","","https://www.autoscout24.ch/de/d/carado-i-449-edition-15-fiat-capron-169l-1449-10655891","CARADO I 449 Édition 15 Fiat Capron 169L/1449","CHF 71'900.–","14'000 km","Diesel","Zone industrielle Les Portettes 2c, 1312 Eclépens"
"1733470801-3","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=79","","https://www.autoscout24.ch/de/d/dethleffs-fiat-ducato-11400474","DETHLEFFS Fiat Ducato","CHF 37'800.–","90'000 km","Diesel","Rte du St-Bernard 8, 1937 Orsières"
"1733470805-4","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=79","","https://www.autoscout24.ch/de/d/fiat-euro-master-wohnmobil-11554182","FIAT Euro Master Wohnmobil","CHF 19'900.–","187'236 km","Diesel","Badenerstrasse 84, 8952 Schlieren"
"1733470807-5","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=79","","https://www.autoscout24.ch/de/d/vw-t61-california-20-tdi-ocean-edition-liberty-4motion-11643965","VW T6.1 California 2.0 TDI Ocean Edition Liberty 4Motion","CHF 84'500.–","16'500 km","Diesel","8852 Altendorf"
"1733470809-6","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=79","","https://www.autoscout24.ch/de/d/vw-t61-knaus-tourer-van-500-mw-mega-ausstattung-europreisvorteil-635kg-zuladung-11222331","VW T6.1 Knaus Tourer Van 500 MW, MEGA Ausstattung, EUROPREISVORTEIL !!! 635kg Zuladung","CHF 69'900.–","11'000 km","Diesel","8852 Altendorf"
"1733470812-7","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=79","","https://www.autoscout24.ch/de/d/vw-t61-california-20-tdi-ocean-liberty-11956455","VW T6.1 California 2.0 TDI Ocean Liberty","CHF 56'500.–","45'000 km","Diesel","Güterstrasse 37, 9444 Diepoldsau"
"1733470815-8","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=79","","https://www.autoscout24.ch/de/d/hymer-bmc-580-i-11682031","HYMER BMC 580-I","CHF 115'800.–","12'200 km","Diesel","Büelhalde 4, 8317 Tagelswangen"
"1733470818-9","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=79","","https://www.autoscout24.ch/de/d/vw-t6-california-20-tdi-bulli-beach-edition-4motion-11688378","VW T6 California 2.0 TDI BULLI Beach Edition 4Motion","CHF 51'900.–","83'000 km","Diesel","Birmensdorferstrasse 18, 8902 Urdorf"
"1733470820-10","https://www.autoscout24.ch/de/s/vc-camper?mileageFrom=10000&pagination%5Bpage%5D=79","","https://www.autoscout24.ch/de/d/mercedes-benz-marco-polo-250-d-7g-tronic-11895640","MERCEDES-BENZ Marco Polo 250 d 7G-Tronic","CHF 49'900.–","113'000 km","Diesel","Neumatt 10, 4626 Niederbuchsiten"
